form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,overabundance_tag,analysis_tag,source,page,language_id
komkhoirentak001,no_stem,1.sg,kei,kei,kei,k ei,k ei,unspecified,,,Kanshouwa2025Khoirentak,nopage,komkhoirentak
komkhoirentak002,no_stem,1.pl.excl,keini,keini,kei+ni,k ei n i,k ei + n i,unspecified,,,Kanshouwa2025Khoirentak,nopage,komkhoirentak
komkhoirentak003,no_stem,1.pl.incl,eini,eini,ei+ni,ei n i,ei + n i,unspecified,,,Kanshouwa2025Khoirentak,nopage,komkhoirentak
komkhoirentak004,no_stem,2.sg,nang,nang,nang,n a ŋ,n a ŋ,unspecified,,,Kanshouwa2025Khoirentak,nopage,komkhoirentak
komkhoirentak005,no_stem,2.pl,nangni,nangni,nang+ni,n a ŋ n i,n a ŋ + n i,unspecified,,,Kanshouwa2025Khoirentak,nopage,komkhoirentak
komkhoirentak006,no_stem,3.sg,ama,ama,a+ma,a m a,a + m a,unspecified,,,Kanshouwa2025Khoirentak,nopage,komkhoirentak
komkhoirentak007,no_stem,3.pl,anmani,anmani,a+n+ma+ni,a n m a n i,a + n + m a + n i,unspecified,,,Kanshouwa2025Khoirentak,nopage,komkhoirentak
komkhoirentak008,se,1.sg.fut.aff,ka-se-sik-eng,ka-Σ-sik-eng,ka+Σ+sik+eng,k a Σ s i k e ŋ,k a + Σ + s i k + e ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak009,se,1.pl.excl.fut.aff,ka-se-sik-ung,ka-Σ-sik-ung,ka+Σ+sik+ung,k a Σ s i k u ŋ,k a + Σ + s i k + u ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak010,se,1.pl.incl.fut.aff,ka-se-sik-me,ka-Σ-sik-me,ka+Σ+sik+me,k a Σ s i k m e,k a + Σ + s i k + m e,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak011,hmu,1.sg.2.sg.fut.aff,ka-hmu-sik-che,ka-Σ-sik-che,ka+Σ+sik+che,k a Σ s i k tʃ e,k a + Σ + s i k + tʃ e,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak012,hmu,1.sg.2.pl.fut.aff,ka-hmu-sik-chui,ka-Σ-sik-chui,ka+Σ+sik+chui,k a Σ s i k tʃ ui,k a + Σ + s i k + tʃ ui,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak013,hmu,1.pl.excl.2.sg.fut.aff,kan-hmu-sik-che,kan-Σ-sik-che,ka+n+Σ+sik+che,k a n Σ s i k tʃ e,k a + n + Σ + s i k + tʃ e,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak014,hmu,1.pl.excl.2.pl.fut.aff,kan-hmu-sik-chui,kan-Σ-sik-chui,ka+n+Σ+sik+chui,k a n Σ s i k tʃ ui,k a + n + Σ + s i k + tʃ ui,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak015,hmu,1.sg.3.sg.fut.aff,ka-hmu-sik,ka-Σ-sik,ka+Σ+sik,k a Σ s i k,k a + Σ + s i k,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak016,hmu,1.sg.3.pl.fut.aff,ka-hmu-sik-hei,ka-Σ-sik-hei,ka+Σ+sik+hei,k a Σ s i k h ei,k a + Σ + s i k + h ei,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak017,hmu,1.pl.excl.3.sg.fut.aff,kan-hmu-sik,kan-Σ-sik,ka+n+Σ+sik,k a n Σ s i k,k a + n + Σ + s i k,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak018,hmu,1.pl.incl.3.sg.fut.aff,ni-hmu-sik,ni-Σ-sik,ni+Σ+sik,n i Σ s i k,n i + Σ + s i k,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak019,hmu,1.pl.excl.3.pl.fut.aff,kan-hmu-sik-hei,kan-Σ-sik-hei,ka+n+Σ+sik+hei,k a n Σ s i k h ei,k a + n + Σ + s i k + h ei,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak020,hmu,1.pl.incl.3.pl.fut.aff,ni-hmu-sik-hei,ni-Σ-sik-hei,ni+Σ+sik+hei,n i Σ s i k h ei,n i + Σ + s i k + h ei,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak021,se,2.sg.fut.aff,ka-se-che,ka-Σ-che,ka+Σ+che,k a Σ tʃ e,k a + Σ + tʃ e,unspecified,optional_future,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak022,se,2.sg.fut.aff,ka-se-sik-che,ka-Σ-sik-che,ka+Σ+sik+che,k a Σ s i k tʃ e,k a + Σ + s i k + tʃ e,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak023,se,2.pl.fut.aff,ka-se-sik-chui,ka-Σ-sik-chui,ka+Σ+sik+chui,k a Σ s i k tʃ ui,k a + Σ + s i k + tʃ ui,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak024,hmu,2.sg.1.sg.fut.aff,na-hmu-sik-eng,na-Σ-sik-eng,na+Σ+sik+eng,n a Σ s i k e ŋ,n a + Σ + s i k + e ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak025,hmu,2.sg.1.sg.fut.aff,nani-hmu-sik,nani-Σ-sik,na+ni+Σ+sik,n a n i Σ s i k,n a + n i + Σ + s i k,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak026,hmu,2.sg.1.pl.excl.fut.aff,na-hmu-sik-ung,na-Σ-sik-ung,na+Σ+sik+ung,n a Σ s i k u ŋ,n a + Σ + s i k + u ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak027,hmu,2.pl.1.sg.fut.aff,nan-hmu-sik-eng,nan-Σ-sik-eng,na+n+Σ+sik+eng,n a n Σ s i k e ŋ,n a + n + Σ + s i k + e ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak028,hmu,2.pl.1.sg.fut.aff,nani-hmu-sik,nani-Σ-sik,na+ni+Σ+sik,n a n i Σ s i k,n a + n i + Σ + s i k,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak029,hmu,2.pl.1.pl.excl.fut.aff,nan-hmu-sik-ung,nan-Σ-sik-ung,na+n+Σ+sik+ung,n a n Σ s i k u ŋ,n a + n + Σ + s i k + u ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak030,hmu,2.pl.1.pl.excl.fut.aff,nani-hmu-sik,nani-Σ-sik,na+ni+Σ+sik,n a n i Σ s i k,n a + n i + Σ + s i k,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak031,hmu,2.sg.3.sg.fut.aff,na-hmu-sik,na-Σ-sik,na+Σ+sik,n a Σ s i k,n a + Σ + s i k,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak032,hmu,2.sg.3.pl.fut.aff,na-hmu-sik-hei,na-Σ-sik-hei,na+Σ+sik+hei,n a Σ s i k h ei,n a + Σ + s i k + h ei,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak033,hmu,2.pl.3.sg.fut.aff,nan-hmu-sik,nan-Σ-sik,na+n+Σ+sik,n a n Σ s i k,n a + n + Σ + s i k,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak034,hmu,2.pl.3.pl.fut.aff,nan-hmu-sik-hei,nan-Σ-sik-hei,na+n+Σ+sik+hei,n a n Σ s i k h ei,n a + n + Σ + s i k + h ei,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak035,hmu,2.pl.3.pl.fut.aff,nani-hmu-sik-hei,nani-Σ-sik-hei,na+ni+Σ+sik+hei,n a n i Σ s i k h ei,n a + n i + Σ + s i k + h ei,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak036,se,3.sg.fut.aff,ka-se-sik,ka-Σ-sik,ka+Σ+sik,k a Σ s i k,k a + Σ + s i k,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak037,se,3.pl.fut.aff,ka-se-sik-hei,ka-Σ-sik-hei,ka+Σ+sik+hei,k a Σ s i k h ei,k a + Σ + s i k + h ei,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak038,hmu,3.sg.1.sg.fut.aff,a-hmu-sik-eng,a-Σ-sik-eng,a+Σ+sik+eng,a Σ s i k e ŋ,a + Σ + s i k + e ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak039,hmu,3.sg.1.sg.fut.aff,ani-hmu-sik,ani-Σ-sik,a+ni+Σ+sik,a n i Σ s i k,a + n i + Σ + s i k,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak040,hmu,3.sg.1.pl.excl.fut.aff,a-hmu-sik-ung,a-Σ-sik-ung,a+Σ+sik+ung,a Σ s i k u ŋ,a + Σ + s i k + u ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak041,hmu,3.sg.1.pl.excl.fut.aff,ani-hmu-sik,ani-Σ-sik,a+ni+Σ+sik,a n i Σ s i k,a + n i + Σ + s i k,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak042,hmu,3.sg.1.pl.incl.fut.aff,ei-hmu-sik-me,ei-Σ-sik-me,ei+Σ+sik+me,ei Σ s i k m e,ei + Σ + s i k + m e,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak043,hmu,3.sg.1.pl.incl.fut.aff,a-hmu-sik-me,a-Σ-sik-me,a+Σ+sik+me,a Σ s i k m e,a + Σ + s i k + m e,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak044,hmu,3.sg.1.pl.incl.fut.aff,ani-hmu-sik,ani-Σ-sik,a+ni+Σ+sik,a n i Σ s i k,a + n i + Σ + s i k,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak045,hmu,3.pl.1.sg.fut.aff,an-hmu-sik-eng,an-Σ-sik-eng,a+n+Σ+sik+eng,a n Σ s i k e ŋ,a + n + Σ + s i k + e ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak046,hmu,3.pl.1.sg.fut.aff,ani-hmu-sik,ani-Σ-sik,a+ni+Σ+sik,a n i Σ s i k,a + n i + Σ + s i k,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak047,hmu,3.pl.1.pl.excl.fut.aff,an-hmu-sik-ung,an-Σ-sik-ung,a+n+Σ+sik+ung,a n Σ s i k u ŋ,a + n + Σ + s i k + u ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak048,hmu,3.pl.1.pl.excl.fut.aff,ani-hmu-sik,ani-Σ-sik,a+ni+Σ+sik,a n i Σ s i k,a + n i + Σ + s i k,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak049,hmu,3.pl.1.pl.incl.fut.aff,ani-hmu-sik,ani-Σ-sik,a+ni+Σ+sik,a n i Σ s i k,a + n i + Σ + s i k,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak050,hmu,3.pl.1.pl.incl.fut.aff,an-hmu-sik-me,an-Σ-sik-me,a+n+Σ+sik+me,a n Σ s i k m e,a + n + Σ + s i k + m e,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak051,hmu,3.sg.2.sg.fut.aff,a-hmu-sik-che,a-Σ-sik-che,a+Σ+sik+che,a Σ s i k tʃ e,a + Σ + s i k + tʃ e,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak052,hmu,3.sg.2.pl.fut.aff,a-hmu-sik-chui,a-Σ-sik-chui,a+Σ+sik+chui,a Σ s i k tʃ ui,a + Σ + s i k + tʃ ui,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak053,hmu,3.pl.2.sg.fut.aff,an-hmu-sik-che,an-Σ-sik-che,a+n+Σ+sik+che,a n Σ s i k tʃ e,a + n + Σ + s i k + tʃ e,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak054,hmu,3.pl.2.pl.fut.aff,an-hmu-sik-chui,an-Σ-sik-chui,a+n+Σ+sik+chui,a n Σ s i k tʃ ui,a + n + Σ + s i k + tʃ ui,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak055,hmu,3.sg.3.sg.fut.aff,a-hmu-sik,a-Σ-sik,a+Σ+sik,a Σ s i k,a + Σ + s i k,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak056,hmu,3.sg.3.pl.fut.aff,a-hmu-sik-hei,a-Σ-sik-hei,a+Σ+sik+hei,a Σ s i k h ei,a + Σ + s i k + h ei,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak057,hmu,3.pl.3.sg.fut.aff,an-hmu-sik,an-Σ-sik,a+n+Σ+sik,a n Σ s i k,a + n + Σ + s i k,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak058,hmu,3.pl.3.pl.fut.aff,an-hmu-sik-hei,an-Σ-sik-hei,a+n+Σ+sik+hei,a n Σ s i k h ei,a + n + Σ + s i k + h ei,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak059,se,1.sg.fut.neg,se-mak-ning,Σ-mak-ning,Σ+mak+n+ing,Σ m a k n i ŋ,Σ + m a k + n + i ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak060,se,1.pl.excl.fut.neg,se-mak-nung,Σ-mak-nung,Σ+mak+n+ung,Σ m a k n u ŋ,Σ + m a k + n + u ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak061,se,1.pl.incl.fut.neg,se-mak-min,Σ-mak-min,Σ+mak+mi+n,Σ m a k m i n,Σ + m a k + m i + n,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak062,hmu,1.sg.2.sg.fut.neg,hmu-mak-che-ning,Σ-mak-che-ning,Σ+mak+che+n+ing,Σ m a k tʃ e n i ŋ,Σ + m a k + tʃ e + n + i ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak063,hmu,1.sg.2.pl.fut.neg,hmu-mak-chui-ning,Σ-mak-chui-ning,Σ+mak+chui+n+ing,Σ m a k tʃ ui n i ŋ,Σ + m a k + tʃ ui + n + i ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak064,hmu,1.sg.3.pl.fut.neg,hmu-mak-hei-ning,Σ-mak-hei-ning,Σ+mak+hei+n+ing,Σ m a k h ei n i ŋ,Σ + m a k + h ei + n + i ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak065,hmu,1.pl.excl.2.sg.fut.neg,hmu-mak-che-ning-ung,Σ-mak-che-ning-ung,Σ+mak+che+n+ing+ung,Σ m a k tʃ e n i ŋ u ŋ,Σ + m a k + tʃ e + n + i ŋ + u ŋ,formal,,mult_exponence,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak066,hmu,1.pl.excl.2.sg.fut.neg,hmu-mak-che-nung,Σ-mak-che-nung,Σ+mak+che+n+ung,Σ m a k tʃ e n u ŋ,Σ + m a k + tʃ e + n + u ŋ,informal,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak067,hmu,1.pl.excl.2.pl.fut.neg,hmu-mak-chui-nung,Σ-mak-chui-nung,Σ+mak+chui+n+ung,Σ m a k tʃ ui n u ŋ,Σ + m a k + tʃ ui + n + u ŋ,informal,,fusion,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak068,hmu,1.pl.excl.2.pl.fut.neg,hmu-mak-chui-ning-ung,Σ-mak-chui-ning-ung,Σ+mak+chui+n+ing+ung,Σ m a k tʃ ui n i ŋ u ŋ,Σ + m a k + tʃ ui + n + i ŋ + u ŋ,formal,,mult_exponence,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak069,hmu,1.sg.3.sg.fut.neg,hmu-mak-ning,Σ-mak-ning,Σ+mak+n+ing,Σ m a k n i ŋ,Σ + m a k + n + i ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak070,hmu,1.pl.excl.3.sg.fut.neg,hmu-mak-nung,Σ-mak-nung,Σ+mak+n+ung,Σ m a k n u ŋ,Σ + m a k + n + u ŋ,informal,,fusion,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak071,hmu,1.pl.excl.3.sg.fut.neg,hmu-mak-ning-ung,Σ-mak-ning-ung,Σ+mak+n+ing+ung,Σ m a k n i ŋ u ŋ,Σ + m a k + n + i ŋ + u ŋ,formal,,mult_exponence,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak072,hmu,1.pl.incl.3.sg.fut.neg,hmu-mak-min,Σ-mak-min,Σ+mak+mi+n,Σ m a k m i n,Σ + m a k + m i + n,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak073,hmu,1.pl.excl.3.pl.fut.neg,hmu-mak-hei-ning-ung,Σ-mak-hei-ning-ung,Σ+mak+hei+n+ing+ung,Σ m a k h ei n i ŋ u ŋ,Σ + m a k + h ei + n + i ŋ + u ŋ,formal,,mult_exponence,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak074,hmu,1.pl.excl.3.pl.fut.neg,hmu-mak-hei-nung,Σ-mak-hei-nung,Σ+mak+hei+n+ung,Σ m a k h ei n u ŋ,Σ + m a k + h ei + n + u ŋ,informal,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak075,hmu,1.pl.incl.3.pl.fut.neg,hmu-mak-hei-min,Σ-mak-hei-min,Σ+mak+hei+mi+n,Σ m a k h ei m i n,Σ + m a k + h ei + m i + n,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak076,se,2.sg.fut.neg,se-mak-tin,Σ-mak-tin,Σ+mak+ti+n,Σ m a k t i n,Σ + m a k + t i + n,informal,,fusion,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak077,se,2.sg.fut.neg,se-mak-tin-che,Σ-mak-tin-che,Σ+mak+ti+n+che,Σ m a k t i n tʃ e,Σ + m a k + t i + n + tʃ e,formal,,mult_exponence,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak078,se,2.pl.fut.neg,se-mak-tun,Σ-mak-tun,Σ+mak+tu+n,Σ m a k t u n,Σ + m a k + t u + n,informal,,fusion,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak079,se,2.pl.fut.neg,se-mak-tin-chui,Σ-mak-tin-chui,Σ+mak+ti+n+chui,Σ m a k t i n tʃ ui,Σ + m a k + t i + n + tʃ ui,formal,,mult_exponence,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak080,hmu,2.sg.1.sg.fut.neg,a-hmu-mak-tin,a-Σ-mak-tin,a+Σ+mak+ti+n,a Σ m a k t i n,a + Σ + m a k + t i + n,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak081,hmu,2.sg.1.sg.fut.neg,ei-hmu-mak-tin,ei-Σ-mak-tin,ei+Σ+mak+ti+n,ei Σ m a k t i n,ei + Σ + m a k + t i + n,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak082,hmu,2.sg.1.sg.fut.neg,ani-hmu-mak-tin,ani-Σ-mak-tin,a+ni+Σ+mak+ti+n,a n i Σ m a k t i n,a + n i + Σ + m a k + t i + n,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak083,hmu,2.sg.1.pl.excl.fut.neg,ei-hmu-mak-tin,ei-Σ-mak-tin,ei+Σ+mak+ti+n,ei Σ m a k t i n,ei + Σ + m a k + t i + n,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak084,hmu,2.sg.1.pl.excl.fut.neg,a-hmu-mak-tin,a-Σ-mak-tin,a+Σ+mak+ti+n,a Σ m a k t i n,a + Σ + m a k + t i + n,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak085,hmu,2.sg.1.pl.excl.fut.neg,ani-hmu-mak-tin,ani-Σ-mak-tin,a+ni+Σ+mak+ti+n,a n i Σ m a k t i n,a + n i + Σ + m a k + t i + n,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak086,hmu,2.pl.1.sg.fut.neg,a-hmu-mak-tun,a-Σ-mak-tun,a+Σ+mak+tu+n,a Σ m a k t u n,a + Σ + m a k + t u + n,informal,,fusion,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak087,hmu,2.pl.1.sg.fut.neg,ei-hmu-mak-tun,ei-Σ-mak-tun,ei+Σ+mak+tu+n,ei Σ m a k t u n,ei + Σ + m a k + t u + n,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak088,hmu,2.pl.1.sg.fut.neg,ani-hmu-mak-tun,ani-Σ-mak-tun,a+ni+Σ+mak+tu+n,a n i Σ m a k t u n,a + n i + Σ + m a k + t u + n,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak089,hmu,2.pl.1.sg.fut.neg,a-hmu-mak-tin-chui,a-Σ-mak-tin-chui,a+Σ+mak+ti+n+chui,a Σ m a k t i n tʃ ui,a + Σ + m a k + t i + n + tʃ ui,formal,,mult_exponence,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak090,hmu,2.pl.1.sg.fut.neg,ei-hmu-mak-tin-chui,ei-Σ-mak-tin-chui,ei+Σ+mak+ti+n+chui,ei Σ m a k t i n tʃ ui,ei + Σ + m a k + t i + n + tʃ ui,dialect_var,,mult_exponence,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak091,hmu,2.pl.1.sg.fut.neg,ani-hmu-mak-tin-chui,ani-Σ-mak-tin-chui,a+ni+Σ+mak+ti+n+chui,a n i Σ m a k t i n tʃ ui,a + n i + Σ + m a k + t i + n + tʃ ui,dialect_var,,mult_exponence,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak092,hmu,2.pl.1.pl.excl.fut.neg,ei-hmu-mak-tun,ei-Σ-mak-tun,ei+Σ+mak+tu+n,ei Σ m a k t u n,ei + Σ + m a k + t u + n,informal,,fusion,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak093,hmu,2.pl.1.pl.excl.fut.neg,a-hmu-mak-tun,a-Σ-mak-tun,a+Σ+mak+tu+n,a Σ m a k t u n,a + Σ + m a k + t u + n,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak094,hmu,2.pl.1.pl.excl.fut.neg,ani-hmu-mak-tun,ani-Σ-mak-tun,a+ni+Σ+mak+tu+n,a n i Σ m a k t u n,a + n i + Σ + m a k + t u + n,dialect_var,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak095,hmu,2.pl.1.pl.excl.fut.neg,ei-hmu-mak-tin-chui,ei-Σ-mak-tin-chui,ei+Σ+mak+ti+n+chui,ei Σ m a k t i n tʃ ui,ei + Σ + m a k + t i + n + tʃ ui,formal,,mult_exponence,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak096,hmu,2.pl.1.pl.excl.fut.neg,a-hmu-mak-tin-chui,a-Σ-mak-tin-chui,a+Σ+mak+ti+n+chui,a Σ m a k t i n tʃ ui,a + Σ + m a k + t i + n + tʃ ui,dialect_var,,mult_exponence,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak097,hmu,2.pl.1.pl.excl.fut.neg,ani-hmu-mak-tin-chui,ani-Σ-mak-tin-chui,a+ni+Σ+mak+ti+n+chui,a n i Σ m a k t i n tʃ ui,a + n i + Σ + m a k + t i + n + tʃ ui,dialect_var,,mult_exponence,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak098,hmu,2.sg.3.sg.fut.neg,hmu-mak-tin,Σ-mak-tin,Σ+mak+ti+n,Σ m a k t i n,Σ + m a k + t i + n,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak099,hmu,2.sg.3.pl.fut.neg,hmu-mak-hei-tin,Σ-mak-hei-tin,Σ+mak+hei+ti+n,Σ m a k h ei t i n,Σ + m a k + h ei + t i + n,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak100,hmu,2.pl.3.sg.fut.neg,hmu-mak-tun,Σ-mak-tun,Σ+mak+tu+n,Σ m a k t u n,Σ + m a k + t u + n,informal,,fusion,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak101,hmu,2.pl.3.sg.fut.neg,hmu-mak-tin-chui,Σ-mak-tin-chui,Σ+mak+ti+n+chui,Σ m a k t i n tʃ ui,Σ + m a k + t i + n + tʃ ui,formal,,mult_exponence,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak102,hmu,2.pl.3.pl.fut.neg,hmu-mak-hei-tun,Σ-mak-hei-tun,Σ+mak+hei+tu+n,Σ m a k h ei t u n,Σ + m a k + h ei + t u + n,informal,,fusion,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak103,hmu,2.pl.3.pl.fut.neg,hmu-mak-hei-tin-chui,Σ-mak-hei-tin-chui,Σ+mak+hei+ti+n+chui,Σ m a k h ei t i n tʃ ui,Σ + m a k + h ei + t i + n + tʃ ui,formal,,mult_exponence,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak104,se,3.sg.fut.neg,se-mak-ning,Σ-mak-ning,Σ+mak+n+ing,Σ m a k n i ŋ,Σ + m a k + n + i ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak105,se,3.pl.fut.neg,se-mak-hei-ning,Σ-mak-hei-ning,Σ+mak+hei+n+ing,Σ m a k h ei n i ŋ,Σ + m a k + h ei + n + i ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak106,hmu,3.sg.1.sg.fut.neg,a-hmu-mak-ning,a-Σ-mak-ning,a+Σ+mak+n+ing,a Σ m a k n i ŋ,a + Σ + m a k + n + i ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
