form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,overabundance_tag,analysis_tag,source,page,language_id
komkhoirentak176,hmu,3.pl.2.sg.nfut.aff,an-hmu-che,an-Σ-che,a+n+Σ+che,a n Σ tʃ e,a + n + Σ + tʃ e,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak177,hmu,3.pl.2.pl.nfut.aff,an-hmu-chui,an-Σ-chui,a+n+Σ+chui,a n Σ tʃ ui,a + n + Σ + tʃ ui,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak178,hmu,3.sg.3.sg.nfut.aff,a-hmu,a-Σ,a+Σ,a Σ,a + Σ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak179,hmu,3.sg.3.pl.nfut.aff,a-hmu-hei,a-Σ-hei,a+Σ+hei,a Σ h ei,a + Σ + h ei,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak180,hmu,3.pl.3.sg.nfut.aff,an-hmu,an-Σ,a+n+Σ,a n Σ,a + n + Σ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak181,hmu,3.pl.3.pl.nfut.aff,an-hmu,an-Σ,a+n+Σ,a n Σ,a + n + Σ,unspecified,optional_plural,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak182,hmu,3.pl.3.pl.nfut.aff,an-hmu-hei,an-Σ-hei,a+n+Σ+hei,a n Σ h ei,a + n + Σ + h ei,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak183,se,1.sg.nfut.neg,se-meng,Σ-meng,Σ+m+eng,Σ m e ŋ,Σ + m + e ŋ,informal,,fusion,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak184,se,1.sg.nfut.neg,se-mak-eng,Σ-mak-eng,Σ+mak+eng,Σ m a k e ŋ,Σ + m a k + e ŋ,formal,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak185,se,1.pl.excl.nfut.neg,se-mak-ung,Σ-mak-ung,Σ+mak+ung,Σ m a k u ŋ,Σ + m a k + u ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak186,se,1.pl.incl.nfut.neg,se-mak-me,Σ-mak-me,Σ+mak+me,Σ m a k m e,Σ + m a k + m e,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak187,hmu,1.sg.2.sg.nfut.neg,hmu-mak-che-eng,Σ-mak-che-eng,Σ+mak+che+eng,Σ m a k tʃ e e ŋ,Σ + m a k + tʃ e + e ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak188,hmu,1.sg.2.pl.nfut.neg,hmu-mak-chui-eng,Σ-mak-chui-eng,Σ+mak+chui+eng,Σ m a k tʃ ui e ŋ,Σ + m a k + tʃ ui + e ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak189,hmu,1.pl.excl.2.sg.nfut.neg,hmu-mak-che-ung,Σ-mak-che-ung,Σ+mak+che+ung,Σ m a k tʃ e u ŋ,Σ + m a k + tʃ e + u ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak190,hmu,1.pl.excl.2.pl.nfut.neg,hmu-mak-chui-ung,Σ-mak-chui-ung,Σ+mak+chui+ung,Σ m a k tʃ ui u ŋ,Σ + m a k + tʃ ui + u ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak191,hmu,1.sg.3.sg.nfut.neg,hmu-mak-eng,Σ-mak-eng,Σ+mak+eng,Σ m a k e ŋ,Σ + m a k + e ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak192,hmu,1.sg.3.pl.nfut.neg,hmu-mak-hei-eng,Σ-mak-hei-eng,Σ+mak+hei+eng,Σ m a k h ei e ŋ,Σ + m a k + h ei + e ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak193,hmu,1.pl.excl.3.sg.nfut.neg,hmu-mak-ung,Σ-mak-ung,Σ+mak+ung,Σ m a k u ŋ,Σ + m a k + u ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak194,hmu,1.pl.incl.3.sg.nfut.neg,hmu-mak-me,Σ-mak-me,Σ+mak+me,Σ m a k m e,Σ + m a k + m e,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak195,hmu,1.pl.excl.3.pl.nfut.neg,hmu-mak-hei-ung,Σ-mak-hei-ung,Σ+mak+hei+ung,Σ m a k h ei u ŋ,Σ + m a k + h ei + u ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak196,hmu,1.pl.incl.3.pl.nfut.neg,hmu-mak-hei-me,Σ-mak-hei-me,Σ+mak+hei+me,Σ m a k h ei m e,Σ + m a k + h ei + m e,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak197,se,2.sg.nfut.neg,se-mak-che,Σ-mak-che,Σ+mak+che,Σ m a k tʃ e,Σ + m a k + tʃ e,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak198,se,2.pl.nfut.neg,se-mak-chui,Σ-mak-chui,Σ+mak+chui,Σ m a k tʃ ui,Σ + m a k + tʃ ui,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak199,hmu,2.sg.1.sg.nfut.neg,a-hmu-mak-che,a-Σ-mak-che,a+Σ+mak+che,a Σ m a k tʃ e,a + Σ + m a k + tʃ e,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
